# Goxel 0.8.0
# One line per voxel
# X Y Z RRGGBB
16 0 16 333333
17 0 16 222222
18 1 16 222222
19 2 16 222222
20 3 16 222222
21 4 16 222222
22 5 16 222222
22 6 16 333333
23 6 16 333333
23 7 16 222222
23 8 16 444444
24 9 16 444444
24 10 16 333333
24 11 16 333333
24 12 16 333333
24 13 16 333333
24 14 16 333333
24 15 16 444444
16 1 17 333333
17 1 17 333333
18 2 17 333333
19 3 17 333333
20 4 17 222222
21 5 17 333333
21 6 17 333333
22 7 17 444444
23 8 17 333333
23 9 17 333333
23 10 17 333333
23 11 17 222222
23 12 17 222222
23 13 17 222222
23 14 17 222222
23 15 17 333333
16 1 18 222222
16 2 18 222222
17 2 18 333333
18 3 18 444444
19 4 18 444444
20 5 18 333333
20 6 18 222222
21 7 18 222222
22 8 18 333333
22 9 18 444444
22 10 18 333333
22 11 18 333333
22 12 18 333333
22 13 18 333333
22 14 18 333333
22 15 18 333333
16 3 19 444444
17 3 19 444444
18 4 19 555555
19 5 19 444444
20 6 19 444444
20 7 19 333333
21 8 19 222222
21 9 19 222222
21 10 19 222222
21 11 19 222222
21 12 19 333333
21 13 19 444444
21 14 19 444444
20 15 19 333333
21 15 19 333333
16 3 20 333333
17 4 20 444444
18 5 20 333333
19 6 20 333333
19 7 20 333333
20 8 20 333333
20 9 20 222222
20 10 20 222222
20 11 20 444444
20 12 20 444444
20 13 20 333333
20 14 20 444444
19 15 20 333333
16 4 21 555555
17 5 21 444444
18 6 21 333333
18 7 21 555555
19 8 21 333333
19 9 21 444444
19 10 21 333333
19 11 21 333333
19 12 21 444444
19 13 21 444444
18 14 21 444444
19 14 21 444444
18 15 21 555555
16 5 22 555555
16 6 22 555555
17 6 22 444444
17 7 22 555555
17 8 22 555555
18 8 22 444444
18 9 22 444444
18 10 22 444444
17 11 22 444444
18 11 22 333333
17 12 22 666666
18 12 22 555555
16 13 22 444444
17 13 22 666666
18 13 22 444444
16 14 22 333333
17 14 22 333333
16 15 22 222222
17 15 22 444444
16 7 23 555555
16 8 23 666666
16 9 23 444444
17 9 23 555555
16 10 23 555555
17 10 23 444444
16 11 23 555555
16 12 23 444444
13 0 16 222222
14 0 16 444444
15 0 16 222222
9 1 16 222222
10 1 16 333333
11 1 16 333333
12 1 16 333333
7 2 16 333333
8 2 16 333333
6 3 16 333333
5 4 16 333333
4 5 16 333333
3 6 16 444444
2 7 16 444444
1 8 16 555555
2 8 16 666666
0 9 16 777777
1 9 16 777777
12 1 17 444444
13 1 17 444444
14 1 17 222222
15 1 17 222222
8 2 17 333333
9 2 17 222222
10 2 17 444444
11 2 17 444444
6 3 17 444444
7 3 17 333333
4 4 17 666666
5 4 17 333333
3 5 17 333333
2 6 17 333333
1 7 17 333333
0 8 17 666666
15 1 18 333333
9 2 18 444444
10 2 18 333333
11 2 18 333333
12 2 18 222222
13 2 18 333333
14 2 18 333333
6 3 18 333333
7 3 18 333333
8 3 18 555555
4 4 18 666666
5 4 18 333333
3 5 18 333333
0 6 18 444444
1 6 18 333333
2 6 18 333333
0 7 18 444444
12 2 19 333333
13 2 19 444444
14 2 19 333333
15 2 19 333333
7 3 19 333333
8 3 19 333333
9 3 19 444444
10 3 19 333333
11 3 19 222222
5 4 19 444444
6 4 19 333333
2 5 19 333333
3 5 19 444444
4 5 19 333333
0 6 19 666666
1 6 19 444444
10 3 20 333333
11 3 20 333333
12 3 20 333333
13 3 20 333333
14 3 20 333333
15 3 20 444444
5 4 20 333333
6 4 20 333333
7 4 20 333333
8 4 20 333333
9 4 20 444444
0 5 20 444444
1 5 20 333333
2 5 20 444444
3 5 20 333333
4 5 20 333333
12 3 21 333333
13 3 21 333333
14 3 21 222222
5 4 21 555555
6 4 21 222222
7 4 21 222222
8 4 21 444444
9 4 21 444444
10 4 21 333333
11 4 21 333333
15 4 21 333333
0 5 21 333333
1 5 21 666666
2 5 21 333333
