# Goxel 0.8.0
# One line per voxel
# X Y Z RRGGBB
18 -25 91 444444
19 -25 91 555555
20 -25 91 444444
21 -25 91 333333
18 -24 91 555555
19 -24 91 444444
20 -24 91 333333
21 -24 91 444444
22 -24 91 333333
17 -23 91 444444
18 -23 91 555555
19 -23 91 333333
20 -23 91 666666
21 -23 91 333333
22 -23 91 333333
17 -22 91 444444
18 -22 91 555555
19 -22 91 666666
20 -22 91 555555
21 -22 91 666666
22 -22 91 444444
17 -21 91 666666
18 -21 91 666666
19 -21 91 666666
20 -21 91 555555
21 -21 91 666666
22 -21 91 666666
18 -20 91 777777
19 -20 91 666666
20 -20 91 444444
20 -26 92 444444
18 -25 92 444444
19 -25 92 333333
21 -25 92 555555
22 -25 92 555555
17 -24 92 555555
23 -24 92 555555
17 -23 92 333333
23 -23 92 333333
17 -22 92 666666
23 -22 92 444444
17 -21 92 666666
23 -21 92 444444
17 -20 92 666666
21 -20 92 666666
22 -20 92 555555
23 -20 92 555555
17 -19 92 666666
18 -19 92 777777
19 -19 92 666666
20 -19 92 555555
21 -19 92 666666
19 -25 93 666666
20 -25 93 555555
21 -25 93 444444
22 -25 93 555555
17 -24 93 666666
18 -24 93 444444
23 -24 93 444444
17 -23 93 444444
23 -23 93 666666
16 -22 93 555555
23 -22 93 666666
16 -21 93 444444
23 -21 93 555555
16 -20 93 555555
23 -20 93 555555
17 -19 93 666666
22 -19 93 555555
17 -18 93 666666
18 -18 93 666666
19 -18 93 333333
20 -18 93 555555
21 -18 93 777777
18 -24 94 333333
19 -24 94 666666
20 -24 94 555555
21 -24 94 555555
22 -24 94 555555
23 -24 94 555555
17 -23 94 555555
23 -23 94 555555
16 -22 94 555555
24 -22 94 666666
16 -21 94 555555
23 -21 94 555555
16 -20 94 333333
23 -20 94 555555
16 -19 94 555555
22 -19 94 444444
23 -19 94 444444
17 -18 94 666666
21 -18 94 444444
17 -17 94 666666
18 -17 94 444444
19 -17 94 333333
20 -17 94 555555
18 -24 95 555555
19 -24 95 666666
20 -24 95 555555
21 -24 95 555555
22 -24 95 555555
16 -23 95 555555
17 -23 95 444444
23 -23 95 666666
16 -22 95 555555
23 -22 95 666666
16 -21 95 444444
23 -21 95 777777
16 -20 95 333333
23 -20 95 444444
16 -19 95 444444
23 -19 95 444444
16 -18 95 444444
22 -18 95 333333
16 -17 95 555555
21 -17 95 555555
19 -24 96 777777
16 -23 96 444444
17 -23 96 555555
18 -23 96 555555
20 -23 96 666666
21 -23 96 666666
22 -23 96 777777
16 -22 96 444444
23 -22 96 666666
23 -21 96 777777
23 -20 96 666666
23 -19 96 333333
22 -18 96 444444
22 -17 96 555555
17 -23 97 444444
18 -23 97 555555
19 -23 97 555555
20 -23 97 333333
21 -23 97 555555
22 -23 97 666666
16 -22 97 555555
23 -22 97 666666
23 -21 97 666666
23 -20 97 666666
23 -19 97 555555
22 -18 97 333333
22 -17 97 222222
16 -23 98 444444
17 -23 98 444444
18 -23 98 666666
19 -23 98 555555
20 -23 98 444444
21 -23 98 444444
22 -22 98 555555
23 -21 98 555555
22 -20 98 555555
23 -19 98 555555
22 -18 98 333333
22 -17 98 222222
16 -23 99 333333
17 -23 99 333333
18 -23 99 555555
19 -23 99 666666
20 -23 99 666666
21 -22 99 555555
22 -21 99 555555
22 -20 99 333333
23 -19 99 444444
23 -18 99 333333
22 -17 99 333333
16 -23 100 333333
17 -23 100 444444
18 -23 100 333333
19 -23 100 333333
20 -23 100 333333
21 -22 100 333333
22 -21 100 444444
22 -20 100 333333
23 -19 100 444444
23 -18 100 444444
22 -17 100 444444
17 -23 101 333333
18 -23 101 555555
19 -23 101 333333
16 -22 101 333333
20 -22 101 333333
21 -22 101 333333
22 -21 101 555555
22 -20 101 444444
22 -19 101 444444
22 -18 101 333333
22 -17 101 444444
17 -23 102 333333
18 -23 102 444444
16 -22 102 333333
19 -22 102 444444
20 -22 102 444444
21 -21 102 444444
22 -20 102 444444
22 -19 102 444444
22 -18 102 444444
22 -17 102 444444
16 -22 103 666666
17 -22 103 333333
18 -22 103 666666
19 -22 103 444444
20 -22 103 444444
21 -21 103 444444
22 -20 103 444444
22 -19 103 444444
22 -18 103 555555
22 -17 103 444444
18 -22 104 444444
16 -21 104 333333
17 -21 104 444444
19 -21 104 333333
20 -21 104 444444
21 -20 104 555555
21 -19 104 444444
21 -18 104 444444
21 -17 104 444444
18 -21 105 444444
16 -20 105 333333
17 -20 105 555555
19 -20 105 333333
20 -20 105 444444
20 -19 105 333333
21 -18 105 333333
21 -17 105 333333
17 -20 106 555555
18 -20 106 333333
16 -19 106 333333
19 -19 106 333333
20 -18 106 333333
20 -17 106 555555
16 -19 107 333333
17 -19 107 444444
18 -19 107 333333
16 -18 107 333333
18 -18 107 333333
19 -18 107 444444
19 -17 107 555555
17 -18 108 444444
16 -17 108 333333
18 -17 108 444444
16 -17 109 333333
17 -17 109 333333
16 -17 110 555555
17 -17 110 333333
15 -21 96 333333
15 -20 96 444444
15 -19 96 222222
15 -18 96 333333
15 -17 96 333333
15 -21 97 333333
15 -20 97 333333
15 -19 97 333333
14 -18 97 444444
14 -17 97 444444
15 -22 98 333333
15 -21 98 333333
14 -20 98 333333
14 -19 98 333333
14 -18 98 333333
14 -17 98 444444
15 -22 99 333333
14 -21 99 333333
14 -20 99 333333
14 -19 99 444444
14 -18 99 444444
14 -17 99 444444
15 -22 100 333333
14 -21 100 333333
14 -20 100 333333
14 -19 100 444444
13 -18 100 444444
13 -17 100 555555
15 -22 101 333333
14 -21 101 444444
14 -20 101 555555
14 -19 101 333333
14 -18 101 444444
13 -17 101 333333
15 -22 102 444444
14 -21 102 333333
14 -20 102 333333
14 -19 102 444444
14 -18 102 444444
13 -17 102 444444
15 -21 103 333333
14 -20 103 333333
14 -19 103 333333
14 -18 103 333333
13 -17 103 555555
15 -20 104 333333
14 -19 104 444444
14 -18 104 555555
13 -17 104 666666
15 -20 105 666666
15 -19 105 333333
14 -18 105 555555
13 -17 105 777777
15 -19 106 333333
14 -18 106 333333
14 -17 106 555555
15 -18 107 333333
14 -17 107 666666
15 -17 108 333333
15 -17 109 333333
15 -17 110 444444
30 16 106 777777
31 16 106 777777
30 17 106 666666
31 17 106 777777
30 18 106 777777
31 18 106 888888
30 19 106 666666
31 19 106 777777
30 20 106 777777
31 20 106 777777
30 21 106 777777
31 21 106 777777
31 22 106 888888
28 16 107 777777
29 16 107 777777
28 17 107 888888
29 17 107 777777
28 18 107 666666
29 18 107 666666
28 19 107 777777
29 19 107 666666
28 20 107 777777
29 20 107 777777
28 21 107 666666
29 21 107 666666
28 22 107 666666
29 22 107 777777
30 22 107 777777
29 23 107 666666
