# Goxel 0.8.0
# One line per voxel
# X Y Z RRGGBB
-42 16 0 555555
-41 16 0 444444
-43 17 0 333333
-44 18 0 555555
-45 19 0 222222
-45 20 0 222222
-44 21 0 222222
-43 22 0 222222
-42 23 0 666666
-41 23 0 333333
-40 24 0 555555
-39 24 0 333333
-38 25 0 444444
-37 26 0 444444
-36 26 0 444444
-35 26 0 444444
-34 27 0 444444
-33 27 0 555555
-41 16 1 333333
-43 17 1 333333
-42 17 1 444444
-43 18 1 333333
-44 19 1 333333
-44 20 1 222222
-43 21 1 222222
-42 22 1 444444
-41 23 1 444444
-40 24 1 444444
-39 24 1 333333
-38 25 1 444444
-37 25 1 333333
-36 26 1 444444
-35 26 1 444444
-34 26 1 444444
-33 27 1 555555
-41 16 2 333333
-42 17 2 333333
-43 18 2 333333
-43 19 2 222222
-43 20 2 222222
-43 21 2 222222
-42 21 2 222222
-41 22 2 333333
-41 23 2 444444
-40 23 2 444444
-39 24 2 333333
-38 25 2 444444
-37 25 2 444444
-36 26 2 444444
-35 26 2 444444
-34 26 2 555555
-33 26 2 444444
-40 16 3 333333
-41 17 3 333333
-42 18 3 222222
-43 19 3 333333
-42 20 3 333333
-42 21 3 222222
-41 22 3 333333
-40 23 3 333333
-39 24 3 444444
-38 25 3 333333
-37 25 3 444444
-36 25 3 555555
-35 26 3 444444
-34 26 3 555555
-33 26 3 444444
-39 16 4 333333
-38 16 4 444444
-41 17 4 333333
-40 17 4 444444
-41 18 4 333333
-42 19 4 222222
-42 20 4 333333
-41 21 4 333333
-41 22 4 222222
-40 23 4 222222
-39 23 4 333333
-38 24 4 333333
-37 24 4 555555
-36 25 4 333333
-35 25 4 555555
-34 26 4 333333
-33 26 4 333333
-38 16 5 333333
-37 16 5 333333
-36 16 5 333333
-40 17 5 444444
-39 17 5 444444
-41 18 5 333333
-41 19 5 444444
-41 20 5 333333
-41 21 5 222222
-40 22 5 222222
-39 23 5 222222
-38 23 5 222222
-37 24 5 555555
-36 24 5 555555
-35 25 5 333333
-34 25 5 444444
-33 25 5 333333
-37 16 6 333333
-36 16 6 444444
-39 17 6 333333
-38 17 6 333333
-37 17 6 333333
-40 18 6 444444
-39 18 6 333333
-40 19 6 444444
-40 20 6 444444
-40 21 6 444444
-39 21 6 666666
-39 22 6 333333
-38 22 6 333333
-38 23 6 222222
-37 23 6 333333
-36 23 6 333333
-35 24 6 333333
-34 24 6 444444
-33 25 6 555555
-35 16 7 555555
-34 16 7 444444
-36 17 7 555555
-35 17 7 555555
-38 18 7 333333
-37 18 7 444444
-39 19 7 444444
-38 19 7 333333
-39 20 7 333333
-38 20 7 333333
-38 21 7 222222
-37 21 7 222222
-37 22 7 222222
-36 22 7 222222
-36 23 7 222222
-35 23 7 333333
-34 23 7 222222
-33 23 7 333333
-33 24 7 222222
-33 16 8 555555
-34 17 8 444444
-36 18 8 333333
-35 18 8 333333
-37 19 8 333333
-36 19 8 333333
-37 20 8 333333
-36 20 8 333333
-36 21 8 333333
-35 21 8 444444
-34 21 8 333333
-35 22 8 444444
-34 22 8 333333
-33 22 8 333333
-33 17 9 444444
-34 18 9 444444
-35 19 9 333333
-35 20 9 333333
-34 20 9 444444
-33 21 9 555555
-33 18 10 333333
-34 19 10 333333
-33 19 10 333333
-33 20 10 444444
-20 16 0 777777
-19 16 0 777777
-18 16 0 777777
-20 17 0 777777
-19 17 0 777777
-18 17 0 777777
-17 17 0 666666
-19 18 0 777777
-18 18 0 777777
-17 18 0 777777
-18 19 0 777777
-17 19 0 777777
-18 20 0 777777
-17 20 0 777777
-18 21 0 777777
-17 21 0 777777
-18 22 0 777777
-17 22 0 777777
-20 23 0 777777
-19 23 0 666666
-18 23 0 666666
-21 24 0 777777
-20 24 0 777777
-19 24 0 666666
-18 24 0 666666
-22 25 0 555555
-21 25 0 777777
-20 25 0 666666
-26 26 0 666666
-25 26 0 555555
-24 26 0 666666
-23 26 0 555555
-32 27 0 555555
-31 27 0 444444
-30 27 0 555555
-29 27 0 555555
-28 27 0 666666
-27 27 0 555555
-17 16 1 777777
-17 23 1 777777
-17 24 1 777777
-19 25 1 555555
-18 25 1 555555
-23 26 1 555555
-22 26 1 666666
-21 26 1 666666
-20 26 1 666666
-32 27 1 444444
-31 27 1 555555
-30 27 1 555555
-29 27 1 555555
-28 27 1 555555
-27 27 1 555555
-26 27 1 555555
-25 27 1 444444
-24 27 1 555555
-17 25 2 666666
-20 26 2 666666
-19 26 2 666666
-18 26 2 555555
-32 27 2 555555
-31 27 2 444444
-30 27 2 444444
-29 27 2 444444
-28 27 2 444444
-27 27 2 555555
-26 27 2 555555
-25 27 2 444444
-24 27 2 444444
-23 27 2 444444
-22 27 2 555555
-21 27 2 555555
-18 26 3 444444
-17 26 3 555555
-32 27 3 444444
-31 27 3 444444
-30 27 3 444444
-29 27 3 555555
-28 27 3 555555
-27 27 3 444444
-26 27 3 555555
-25 27 3 444444
-24 27 3 555555
-23 27 3 555555
-22 27 3 555555
-21 27 3 666666
-20 27 3 666666
-19 27 3 666666
-32 26 4 444444
-31 26 4 444444
-17 26 4 555555
-30 27 4 444444
-29 27 4 333333
-28 27 4 444444
-27 27 4 444444
-26 27 4 444444
-25 27 4 444444
-24 27 4 444444
-23 27 4 555555
-22 27 4 555555
-21 27 4 555555
-20 27 4 666666
-19 27 4 333333
-18 27 4 555555
-32 26 5 333333
-31 26 5 555555
-30 26 5 444444
-17 26 5 555555
-29 27 5 333333
-28 27 5 333333
-27 27 5 444444
-26 27 5 444444
-25 27 5 444444
-24 27 5 555555
-23 27 5 444444
-22 27 5 555555
-21 27 5 444444
-20 27 5 555555
-19 27 5 444444
-18 27 5 444444
-32 25 6 444444
-31 26 6 222222
-30 26 6 222222
-29 26 6 222222
-17 26 6 444444
-28 27 6 333333
-27 27 6 333333
-26 27 6 333333
-25 27 6 555555
-24 27 6 444444
-23 27 6 444444
-22 27 6 666666
-21 27 6 444444
-20 27 6 555555
-19 27 6 555555
-18 27 6 444444
-32 24 7 444444
-31 25 7 333333
-30 25 7 333333
-29 26 7 333333
-28 26 7 333333
-17 26 7 555555
-27 27 7 333333
-26 27 7 333333
-25 27 7 333333
-24 27 7 444444
-23 27 7 444444
-22 27 7 555555
-21 27 7 555555
-20 27 7 444444
-19 27 7 444444
-18 27 7 555555
-32 23 8 333333
-31 23 8 444444
-31 24 8 333333
-30 24 8 333333
-29 25 8 333333
-28 25 8 333333
-27 26 8 333333
-26 26 8 333333
-17 26 8 555555
-25 27 8 333333
-24 27 8 444444
-23 27 8 333333
-22 27 8 666666
-21 27 8 444444
-20 27 8 555555
-19 27 8 444444
-18 27 8 444444
-32 16 9 666666
-32 21 9 444444
-32 22 9 333333
-31 22 9 333333
-30 23 9 333333
-30 24 9 222222
-29 24 9 333333
-28 25 9 333333
-27 25 9 333333
-26 26 9 444444
-25 26 9 333333
-24 26 9 444444
-23 26 9 444444
-22 26 9 333333
-21 26 9 444444
-20 26 9 444444
-19 26 9 555555
-18 26 9 444444
-17 26 9 444444
-31 16 10 555555
-32 17 10 333333
-32 18 10 333333
-32 20 10 333333
-31 21 10 222222
-31 22 10 333333
-30 22 10 222222
-30 23 10 333333
-29 23 10 333333
-28 24 10 444444
-27 24 10 333333
-26 25 10 333333
