# Goxel 0.8.0
# One line per voxel
# X Y Z RRGGBB
-22 -25 91 333333
-21 -25 91 444444
-20 -25 91 555555
-19 -25 91 444444
-22 -24 91 333333
-21 -24 91 444444
-20 -24 91 444444
-19 -24 91 444444
-23 -23 91 444444
-22 -23 91 333333
-21 -23 91 444444
-20 -23 91 444444
-19 -23 91 555555
-18 -23 91 444444
-23 -22 91 555555
-22 -22 91 666666
-21 -22 91 666666
-20 -22 91 666666
-19 -22 91 666666
-18 -22 91 555555
-23 -21 91 666666
-22 -21 91 666666
-21 -21 91 555555
-20 -21 91 666666
-19 -21 91 666666
-18 -21 91 333333
-21 -20 91 444444
-20 -20 91 555555
-19 -20 91 777777
-21 -26 92 444444
-23 -25 92 555555
-22 -25 92 444444
-20 -25 92 555555
-19 -25 92 444444
-24 -24 92 333333
-23 -24 92 333333
-18 -24 92 555555
-24 -23 92 444444
-18 -23 92 222222
-24 -22 92 555555
-18 -22 92 555555
-24 -21 92 444444
-18 -21 92 666666
-24 -20 92 555555
-23 -20 92 444444
-22 -20 92 666666
-18 -20 92 666666
-22 -19 92 666666
-21 -19 92 555555
-20 -19 92 666666
-19 -19 92 777777
-18 -19 92 666666
-23 -25 93 444444
-22 -25 93 555555
-21 -25 93 555555
-20 -25 93 444444
-24 -24 93 444444
-19 -24 93 555555
-18 -24 93 555555
-25 -23 93 666666
-18 -23 93 333333
-25 -22 93 666666
-17 -22 93 555555
-24 -21 93 444444
-17 -21 93 444444
-24 -20 93 444444
-17 -20 93 444444
-23 -19 93 555555
-18 -19 93 555555
-22 -18 93 555555
-21 -18 93 555555
-20 -18 93 555555
-19 -18 93 666666
-18 -18 93 666666
-24 -24 94 666666
-23 -24 94 666666
-22 -24 94 444444
-21 -24 94 666666
-20 -24 94 666666
-19 -24 94 444444
-24 -23 94 666666
-18 -23 94 555555
-25 -22 94 666666
-17 -22 94 333333
-24 -21 94 444444
-17 -21 94 444444
-24 -20 94 333333
-17 -20 94 444444
-24 -19 94 555555
-17 -19 94 555555
-23 -18 94 555555
-22 -18 94 333333
-18 -18 94 666666
-21 -17 94 555555
-20 -17 94 333333
-19 -17 94 444444
-18 -17 94 555555
-23 -24 95 555555
-22 -24 95 555555
-21 -24 95 666666
-20 -24 95 777777
-19 -24 95 444444
-24 -23 95 666666
-18 -23 95 555555
-17 -23 95 444444
-24 -22 95 777777
-17 -22 95 444444
-25 -21 95 777777
-17 -21 95 444444
-24 -20 95 444444
-17 -20 95 222222
-24 -19 95 555555
-17 -19 95 444444
-23 -18 95 333333
-17 -18 95 444444
-22 -17 95 444444
-17 -17 95 555555
-20 -24 96 666666
-23 -23 96 666666
-22 -23 96 555555
-21 -23 96 444444
-19 -23 96 444444
-18 -23 96 555555
-17 -23 96 444444
-24 -22 96 666666
-17 -22 96 333333
-24 -21 96 666666
-24 -20 96 555555
-24 -19 96 444444
-23 -18 96 555555
-23 -17 96 444444
-23 -23 97 555555
-22 -23 97 555555
-21 -23 97 555555
-20 -23 97 666666
-19 -23 97 444444
-18 -23 97 444444
-24 -22 97 555555
-17 -22 97 444444
-24 -21 97 555555
-24 -20 97 555555
-24 -19 97 555555
-23 -18 97 444444
-23 -17 97 222222
-22 -23 98 444444
-21 -23 98 666666
-20 -23 98 555555
-19 -23 98 555555
-18 -23 98 444444
-17 -23 98 444444
-23 -22 98 555555
-24 -21 98 555555
-24 -20 98 555555
-24 -19 98 555555
-23 -18 98 333333
-23 -17 98 333333
-21 -23 99 555555
-20 -23 99 666666
-19 -23 99 666666
-18 -23 99 333333
-17 -23 99 333333
-22 -22 99 555555
-23 -21 99 555555
-23 -20 99 555555
-24 -19 99 444444
-24 -18 99 333333
-23 -17 99 444444
-21 -23 100 333333
-20 -23 100 333333
-19 -23 100 333333
-18 -23 100 333333
-17 -23 100 333333
-22 -22 100 444444
-23 -21 100 444444
-23 -20 100 333333
-24 -19 100 444444
-24 -18 100 555555
-24 -17 100 444444
-20 -23 101 333333
-19 -23 101 333333
-18 -23 101 333333
-22 -22 101 333333
-21 -22 101 333333
-17 -22 101 333333
-23 -21 101 444444
-23 -20 101 444444
-24 -19 101 333333
-23 -18 101 444444
-23 -17 101 333333
-19 -23 102 333333
-18 -23 102 333333
-21 -22 102 333333
-20 -22 102 444444
-17 -22 102 333333
-22 -21 102 333333
-23 -20 102 444444
-23 -19 102 555555
-23 -18 102 333333
-23 -17 102 444444
-21 -22 103 333333
-20 -22 103 444444
-19 -22 103 666666
-18 -22 103 444444
-17 -22 103 555555
-22 -21 103 444444
-23 -20 103 555555
-23 -19 103 444444
-23 -18 103 444444
-23 -17 103 444444
-19 -22 104 555555
-21 -21 104 555555
-20 -21 104 444444
-18 -21 104 444444
-17 -21 104 666666
-22 -20 104 333333
-22 -19 104 333333
-22 -18 104 333333
-22 -17 104 444444
-19 -21 105 333333
-21 -20 105 333333
-20 -20 105 333333
-18 -20 105 555555
-17 -20 105 777777
-21 -19 105 444444
-22 -18 105 333333
-22 -17 105 444444
-19 -20 106 444444
-18 -20 106 444444
-20 -19 106 444444
-17 -19 106 333333
-21 -18 106 555555
-21 -17 106 555555
-19 -19 107 333333
-18 -19 107 333333
-20 -18 107 444444
-19 -18 107 333333
-17 -18 107 555555
-20 -17 107 555555
-18 -18 108 444444
-19 -17 108 333333
-17 -17 108 333333
-18 -17 109 444444
-17 -17 109 333333
-18 -17 110 444444
-16 -21 96 333333
-16 -20 96 333333
-16 -19 96 222222
-16 -18 96 333333
-16 -17 96 333333
-16 -21 97 222222
-16 -20 97 333333
-16 -19 97 333333
-15 -18 97 333333
-15 -17 97 444444
-16 -22 98 333333
-16 -21 98 333333
-15 -20 98 333333
-15 -19 98 444444
-15 -18 98 333333
-15 -17 98 444444
-16 -22 99 333333
-16 -21 99 333333
-15 -20 99 333333
-15 -19 99 333333
-15 -18 99 555555
-15 -17 99 555555
-16 -22 100 333333
-15 -21 100 333333
-15 -20 100 333333
-15 -19 100 444444
