# Goxel 0.8.0
# One line per voxel
# X Y Z RRGGBB
16 -23 80 333333
16 -22 80 444444
16 -21 80 444444
16 -24 81 444444
16 -23 81 444444
16 -22 81 555555
16 -21 81 333333
16 -20 81 666666
16 -19 81 444444
16 -18 81 666666
16 -17 81 555555
16 -25 82 666666
16 -24 82 333333
16 -23 82 444444
16 -22 82 333333
16 -21 82 444444
16 -20 82 777777
16 -19 82 444444
16 -18 82 333333
16 -17 82 555555
16 -26 83 333333
16 -25 83 555555
16 -24 83 444444
16 -23 83 333333
17 -22 83 333333
17 -21 83 333333
17 -20 83 444444
17 -19 83 333333
17 -18 83 333333
17 -17 83 444444
16 -28 84 333333
16 -27 84 444444
16 -26 84 555555
16 -25 84 444444
16 -24 84 444444
17 -23 84 555555
17 -22 84 333333
17 -21 84 333333
17 -20 84 333333
17 -19 84 333333
17 -18 84 444444
17 -17 84 444444
16 -31 85 333333
16 -30 85 222222
16 -29 85 333333
16 -28 85 333333
16 -27 85 444444
16 -26 85 666666
16 -25 85 333333
17 -24 85 333333
17 -23 85 333333
17 -22 85 222222
17 -21 85 222222
18 -20 85 222222
17 -19 85 444444
17 -18 85 444444
17 -17 85 444444
16 -32 86 333333
16 -31 86 333333
16 -30 86 222222
16 -29 86 222222
16 -28 86 333333
16 -27 86 333333
16 -26 86 222222
17 -25 86 333333
17 -24 86 444444
17 -23 86 222222
17 -22 86 222222
17 -21 86 222222
18 -20 86 222222
17 -19 86 333333
17 -18 86 444444
19 -18 86 222222
18 -17 86 333333
19 -17 86 222222
20 -17 86 222222
16 -32 87 444444
16 -31 87 333333
16 -30 87 333333
16 -29 87 333333
16 -28 87 222222
16 -27 87 222222
17 -26 87 333333
17 -25 87 444444
17 -24 87 444444
17 -23 87 444444
17 -22 87 333333
17 -21 87 222222
18 -20 87 222222
18 -19 87 222222
19 -19 87 222222
18 -18 87 666666
20 -18 87 222222
20 -17 87 222222
16 -32 88 222222
16 -31 88 333333
16 -30 88 222222
16 -29 88 333333
17 -28 88 222222
17 -27 88 333333
17 -26 88 333333
17 -25 88 333333
17 -24 88 222222
17 -23 88 222222
17 -22 88 333333
18 -21 88 222222
18 -20 88 222222
19 -19 88 222222
19 -18 88 222222
19 -17 88 222222
16 -31 89 333333
16 -30 89 222222
16 -29 89 222222
16 -28 89 222222
17 -27 89 333333
17 -26 89 333333
17 -25 89 333333
17 -24 89 222222
17 -23 89 222222
17 -22 89 333333
18 -21 89 222222
18 -20 89 444444
18 -19 89 333333
18 -18 89 222222
18 -17 89 333333
16 -31 90 222222
16 -30 90 222222
16 -29 90 222222
16 -28 90 222222
16 -27 90 222222
17 -26 90 222222
17 -25 90 222222
17 -24 90 222222
17 -23 90 222222
17 -22 90 222222
18 -21 90 222222
18 -20 90 222222
18 -19 90 444444
18 -18 90 444444
18 -17 90 333333
16 -30 91 333333
16 -29 91 222222
16 -28 91 333333
16 -27 91 222222
17 -26 91 222222
17 -25 91 222222
17 -24 91 333333
17 -23 91 222222
17 -22 91 222222
18 -21 91 222222
18 -20 91 222222
18 -19 91 222222
18 -18 91 222222
18 -17 91 222222
16 -29 92 333333
16 -28 92 333333
16 -27 92 222222
16 -26 92 333333
17 -25 92 222222
17 -24 92 222222
17 -23 92 222222
17 -22 92 222222
18 -21 92 222222
18 -20 92 222222
18 -19 92 222222
18 -18 92 222222
18 -17 92 444444
16 -28 93 444444
16 -27 93 222222
16 -26 93 333333
16 -25 93 222222
17 -24 93 222222
17 -23 93 222222
17 -22 93 222222
17 -21 93 222222
18 -20 93 222222
18 -19 93 222222
18 -18 93 222222
18 -17 93 333333
16 -27 94 222222
16 -26 94 222222
16 -25 94 222222
16 -24 94 222222
17 -23 94 333333
17 -22 94 222222
17 -21 94 222222
17 -20 94 222222
17 -19 94 222222
17 -18 94 222222
18 -17 94 222222
16 -25 95 222222
16 -24 95 222222
16 -23 95 222222
17 -22 95 222222
17 -21 95 222222
17 -20 95 222222
17 -19 95 222222
17 -18 95 333333
17 -17 95 333333
16 -24 96 222222
16 -23 96 222222
16 -22 96 222222
16 -21 96 222222
17 -20 96 333333
17 -19 96 333333
17 -18 96 333333
17 -17 96 333333
16 -22 97 222222
16 -21 97 222222
16 -20 97 222222
16 -19 97 222222
16 -18 97 333333
16 -17 97 333333
16 -20 98 222222
16 -19 98 333333
16 -18 98 222222
16 -17 98 222222
0 -45 80 444444
1 -45 80 333333
2 -44 80 333333
3 -44 80 333333
4 -43 80 333333
5 -42 80 333333
6 -41 80 222222
7 -40 80 333333
7 -39 80 222222
0 -38 80 333333
1 -38 80 333333
8 -38 80 333333
0 -37 80 333333
1 -37 80 333333
2 -37 80 333333
9 -37 80 444444
10 -37 80 666666
0 -36 80 444444
1 -36 80 333333
2 -36 80 444444
11 -36 80 444444
0 -35 80 444444
1 -35 80 444444
12 -35 80 444444
0 -34 80 333333
1 -34 80 333333
12 -34 80 333333
12 -33 80 333333
0 -44 81 555555
1 -44 81 444444
2 -44 81 333333
3 -43 81 777777
4 -43 81 222222
4 -42 81 555555
5 -41 81 333333
6 -41 81 222222
6 -40 81 333333
7 -39 81 444444
8 -38 81 333333
9 -38 81 333333
10 -38 81 444444
11 -38 81 555555
11 -37 81 333333
12 -36 81 333333
13 -35 81 666666
13 -34 81 666666
13 -33 81 444444
0 -44 82 333333
1 -44 82 333333
2 -44 82 333333
3 -43 82 222222
4 -42 82 333333
5 -41 82 222222
6 -40 82 222222
7 -39 82 222222
8 -38 82 222222
9 -38 82 222222
10 -38 82 333333
11 -38 82 444444
12 -37 82 444444
13 -37 82 333333
13 -36 82 333333
13 -35 82 333333
13 -34 82 444444
14 -33 82 666666
1 -44 83 333333
0 -43 83 333333
2 -43 83 222222
3 -42 83 444444
4 -42 83 444444
5 -41 83 333333
6 -40 83 333333
7 -39 83 555555
8 -39 83 333333
9 -39 83 444444
10 -39 83 333333
11 -39 83 333333
12 -38 83 333333
13 -37 83 777777
14 -36 83 333333
14 -35 83 333333
14 -34 83 333333
14 -33 83 666666
0 -43 84 222222
1 -43 84 222222
2 -43 84 333333
3 -42 84 333333
4 -41 84 444444
5 -41 84 333333
6 -40 84 333333
7 -39 84 333333
8 -39 84 666666
9 -39 84 333333
10 -39 84 333333
11 -39 84 333333
12 -38 84 333333
13 -37 84 444444
14 -36 84 333333
14 -35 84 444444
15 -34 84 222222
15 -33 84 333333
0 -43 85 222222
1 -43 85 222222
2 -42 85 222222
3 -42 85 222222
4 -41 85 444444
5 -40 85 333333
6 -39 85 333333
7 -39 85 444444
8 -39 85 333333
9 -39 85 333333
10 -39 85 333333
11 -39 85 333333
12 -39 85 333333
13 -38 85 333333
13 -37 85 333333
14 -36 85 444444
15 -35 85 666666
15 -34 85 333333
15 -33 85 333333
0 -42 86 222222
1 -42 86 222222
2 -42 86 222222
3 -41 86 222222
4 -41 86 222222
5 -40 86 666666
6 -39 86 333333
7 -39 86 222222
8 -38 86 222222
9 -38 86 555555
10 -38 86 000011
11 -38 86 999999
12 -38 86 666666
13 -37 86 333333
14 -36 86 333333
15 -35 86 333333
15 -34 86 333333
15 -33 86 333333
0 -42 87 222222
2 -42 87 222222
1 -41 87 333333
3 -41 87 222222
4 -40 87 222222
7 -40 87 222222
8 -40 87 222222
5 -39 87 222222
6 -39 87 222222
8 -39 87 222222
9 -39 87 333333
10 -39 87 333333
11 -38 87 777777
12 -38 87 333333
13 -37 87 555555
14 -36 87 666666
15 -35 87 333333
15 -34 87 222222
15 -33 87 222222
0 -41 88 222222
2 -41 88 222222
3 -41 88 222222
1 -40 88 333333
4 -40 88 222222
7 -40 88 222222
8 -40 88 222222
9 -40 88 222222
10 -40 88 333333
5 -39 88 333333
6 -39 88 333333
11 -39 88 333333
12 -39 88 333333
13 -38 88 333333
13 -37 88 333333
14 -36 88 333333
14 -35 88 444444
15 -34 88 333333
15 -33 88 444444
0 -41 89 222222
1 -40 89 222222
2 -40 89 222222
3 -40 89 333333
7 -40 89 222222
8 -40 89 222222
9 -40 89 222222
10 -40 89 333333
4 -39 89 555555
5 -39 89 222222
6 -39 89 222222
11 -39 89 333333
12 -39 89 333333
13 -38 89 222222
14 -37 89 333333
14 -36 89 222222
14 -35 89 222222
15 -34 89 444444
15 -33 89 444444
0 -41 90 222222
1 -41 90 222222
2 -40 90 555555
7 -40 90 222222
8 -40 90 222222
9 -40 90 222222
10 -40 90 333333
3 -39 90 555555
4 -39 90 222222
5 -39 90 333333
6 -39 90 444444
11 -39 90 222222
12 -39 90 222222
13 -38 90 222222
14 -37 90 222222
14 -36 90 333333
14 -35 90 333333
15 -34 90 333333
15 -33 90 222222
0 -41 91 333333
1 -41 91 222222
2 -41 91 333333
3 -40 91 222222
4 -40 91 222222
5 -40 91 222222
6 -40 91 333333
7 -39 91 222222
8 -39 91 222222
9 -39 91 333333
10 -39 91 333333
11 -39 91 555555
12 -38 91 222222
13 -38 91 222222
13 -37 91 333333
14 -36 91 444444
14 -35 91 333333
14 -34 91 222222
15 -33 91 444444
0 -42 92 222222
1 -41 92 222222
2 -41 92 222222
3 -41 92 222222
4 -40 92 222222
5 -40 92 222222
6 -40 92 222222
7 -39 92 333333
8 -39 92 333333
9 -39 92 333333
10 -39 92 444444
11 -38 92 222222
12 -37 92 333333
13 -36 92 222222
13 -35 92 222222
14 -35 92 222222
14 -34 92 222222
14 -33 92 222222
0 -42 93 222222
1 -42 93 222222
2 -41 93 222222
3 -41 93 222222
4 -41 93 222222
5 -40 93 222222
6 -40 93 222222
7 -39 93 222222
8 -39 93 222222
9 -38 93 222222
10 -38 93 333333
11 -37 93 222222
11 -36 93 222222
12 -36 93 222222
12 -35 93 333333
