# Goxel 0.8.0
# One line per voxel
# X Y Z RRGGBB
-50 0 0 666666
-49 0 0 666666
-49 6 0 666666
-51 0 1 555555
-50 1 1 666666
-49 1 1 555555
-50 2 1 666666
-49 2 1 666666
-50 3 1 666666
-49 3 1 555555
-50 4 1 555555
-49 4 1 666666
-50 5 1 666666
-49 5 1 666666
-49 6 1 777777
-49 7 1 666666
-49 8 1 666666
-49 9 1 666666
-51 0 2 666666
-51 1 2 333333
-51 2 2 555555
-50 3 2 555555
-50 4 2 555555
-50 5 2 555555
-50 6 2 666666
-50 7 2 555555
-50 8 2 666666
-50 9 2 555555
-49 10 2 666666
-49 11 2 555555
-49 12 2 666666
-51 0 3 444444
-51 1 3 444444
-51 2 3 666666
-51 3 3 555555
-51 4 3 555555
-51 5 3 444444
-50 6 3 666666
-50 7 3 666666
-50 8 3 444444
-50 9 3 444444
-49 10 3 555555
-49 11 3 555555
-49 12 3 666666
-51 0 4 444444
-51 1 4 333333
-51 2 4 444444
-51 3 4 555555
-51 4 4 555555
-50 5 4 444444
-50 6 4 444444
-50 7 4 555555
-50 8 4 444444
-50 9 4 444444
-49 10 4 555555
-49 11 4 555555
-49 12 4 555555
-49 13 4 666666
-51 0 5 444444
-50 0 5 555555
-50 1 5 444444
-50 2 5 444444
-50 3 5 555555
-50 4 5 555555
-50 5 5 444444
-50 6 5 444444
-50 7 5 333333
-50 8 5 555555
-49 9 5 555555
-49 10 5 555555
-49 11 5 555555
-49 12 5 555555
-50 0 6 333333
-50 1 6 555555
-50 2 6 444444
-50 3 6 666666
-50 4 6 333333
-50 5 6 444444
-50 6 6 333333
-50 7 6 555555
-49 8 6 555555
-49 9 6 444444
-49 10 6 555555
-49 11 6 555555
-49 0 7 444444
-50 1 7 666666
-50 2 7 555555
-50 3 7 333333
-50 4 7 444444
-50 5 7 444444
-50 6 7 333333
-49 7 7 333333
-49 8 7 444444
-49 9 7 444444
-49 10 7 444444
-49 0 8 444444
-49 1 8 555555
-49 2 8 333333
-49 3 8 333333
-49 4 8 444444
-49 5 8 555555
-49 6 8 555555
-49 7 8 333333
-49 8 8 444444
-49 9 8 444444
-49 -4 0 444444
-50 -3 0 555555
-49 -3 0 444444
-50 -2 0 555555
-49 -2 0 555555
-50 -1 0 666666
-49 -1 0 555555
-49 -10 1 222222
-50 -9 1 444444
-49 -9 1 333333
-50 -8 1 444444
-49 -8 1 444444
-50 -7 1 444444
-49 -7 1 333333
-51 -6 1 444444
-50 -6 1 444444
-49 -6 1 444444
-51 -5 1 444444
-50 -5 1 444444
-49 -5 1 555555
-50 -4 1 444444
-50 -3 1 555555
-50 -2 1 555555
-51 -1 1 555555
-49 -10 2 666666
-50 -9 2 666666
-50 -8 2 555555
-51 -7 2 333333
-51 -6 2 444444
